airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Multiple Carriers,5/18/2019,Delhi,Cochin,13:00:00,21:00:00,480,1,No Info,9385
Multiple Carriers,5/15/2019,Delhi,Cochin,13:05:00,22:30:00,565,1,No Info,9646
Jet Airways,5/18/2019,Kolkata,Banglore,16:30:00,12:00:00,1170,1,In-flight meal not included,10844
Jet Airways,4/9/2019,Banglore,Delhi,6:00:00,8:45:00,165,0,In-flight meal not included,4544
Multiple Carriers,6/3/2019,Delhi,Cochin,17:45:00,1:30:00,465,1,No Info,7530
Air India,3/24/2019,Kolkata,Banglore,20:30:00,8:55:00,745,1,No Info,12173
Jet Airways,6/24/2019,Delhi,Cochin,9:40:00,12:35:00,1615,2,In-flight meal not included,10368
Air India,6/15/2019,Banglore,Delhi,10:00:00,12:45:00,165,0,No Info,6961
Multiple Carriers,3/3/2019,Delhi,Cochin,7:00:00,21:00:00,840,1,No Info,15603
Jet Airways,6/1/2019,Delhi,Cochin,11:30:00,19:00:00,450,1,No Info,14714
Spicejet,3/24/2019,Banglore,New Delhi,9:35:00,12:30:00,175,0,No Info,6309
Vistara,5/27/2019,Banglore,Delhi,19:30:00,22:15:00,165,0,No Info,4878
Jet Airways,3/3/2019,Delhi,Cochin,5:25:00,18:50:00,805,2,No Info,18799
Indigo,6/3/2019,Banglore,Delhi,21:15:00,0:15:00,180,0,No Info,3943
Jet Airways,3/21/2019,Delhi,Cochin,18:15:00,4:25:00,610,1,In-flight meal not included,5963
Jet Airways,5/12/2019,Kolkata,Banglore,17:00:00,14:25:00,1285,1,No Info,13067
Indigo,6/9/2019,Banglore,Delhi,0:25:00,3:15:00,170,0,No Info,3943
Indigo,5/3/2019,Chennai,Kolkata,14:45:00,17:05:00,140,0,No Info,3858
Jet Airways,6/15/2019,Delhi,Cochin,11:30:00,19:00:00,450,1,In-flight meal not included,10262
Jet Airways,5/6/2019,Kolkata,Banglore,18:55:00,8:15:00,800,1,In-flight meal not included,7757
Air India,6/9/2019,Mumbai,Hyderabad,21:05:00,22:25:00,80,0,No Info,3100
Jet Airways,3/6/2019,Banglore,New Delhi,9:45:00,14:25:00,280,1,No Info,16757
Air India,6/1/2019,Delhi,Cochin,22:00:00,19:15:00,1275,2,No Info,10441
Multiple Carriers,5/21/2019,Delhi,Cochin,11:40:00,21:00:00,560,1,No Info,7485
Jet Airways,5/21/2019,Delhi,Cochin,21:50:00,19:00:00,1270,1,In-flight meal not included,12898
Air India,5/12/2019,Kolkata,Banglore,9:25:00,13:45:00,1700,2,No Info,12592
Air India,5/9/2019,Delhi,Cochin,9:00:00,19:15:00,615,1,No Info,8372
Jet Airways,3/18/2019,Banglore,New Delhi,8:00:00,15:15:00,435,1,No Info,12284
Jet Airways,6/6/2019,Delhi,Cochin,9:25:00,4:25:00,1140,2,No Info,13882
Indigo,4/27/2019,Delhi,Cochin,7:35:00,12:10:00,275,1,No Info,5073
Jet Airways,5/15/2019,Kolkata,Banglore,20:00:00,8:15:00,735,1,In-flight meal not included,8586
Multiple Carriers,3/21/2019,Delhi,Cochin,13:00:00,1:35:00,755,1,No Info,8098
Jet Airways,6/18/2019,Banglore,Delhi,6:00:00,8:45:00,165,0,In-flight meal not included,6478
Jet Airways,3/12/2019,Banglore,New Delhi,22:55:00,13:15:00,860,1,In-flight meal not included,11087
Jet Airways,5/15/2019,Kolkata,Banglore,9:35:00,10:55:00,1520,1,No Info,14151
Indigo,6/9/2019,Kolkata,Banglore,19:20:00,23:45:00,265,1,No Info,4205
Jet Airways,5/15/2019,Banglore,Delhi,8:20:00,11:20:00,180,0,In-flight meal not included,4030
Indigo,4/24/2019,Kolkata,Banglore,20:20:00,22:55:00,155,0,No Info,4804
Jet Airways,5/9/2019,Delhi,Cochin,19:30:00,12:35:00,1025,2,In-flight meal not included,13029
Air India,5/15/2019,Banglore,Delhi,21:05:00,23:55:00,170,0,No Info,5228
Indigo,6/24/2019,Delhi,Cochin,5:10:00,10:05:00,295,1,No Info,6496
Indigo,4/1/2019,Kolkata,Banglore,20:20:00,22:55:00,155,0,No Info,4488
Air India,5/9/2019,Kolkata,Banglore,16:50:00,7:55:00,905,1,No Info,8366
Multiple Carriers,6/6/2019,Delhi,Cochin,10:00:00,1:30:00,930,1,No Info,7723
Jet Airways,3/24/2019,Kolkata,Banglore,8:25:00,16:20:00,475,1,No Info,13759
Vistara,5/18/2019,Delhi,Cochin,14:40:00,17:50:00,190,0,No Info,6741
Jet Airways,3/3/2019,Delhi,Cochin,23:05:00,18:50:00,1185,1,No Info,18253
Spicejet,5/9/2019,Mumbai,Hyderabad,5:45:00,7:15:00,90,0,No check-in baggage included,1965
Air India,3/21/2019,Delhi,Cochin,19:45:00,19:15:00,1410,2,No Info,8236
Spicejet,4/15/2019,Banglore,Delhi,9:30:00,12:20:00,170,0,No check-in baggage included,4319
Multiple Carriers,6/6/2019,Delhi,Cochin,11:30:00,1:30:00,840,1,No Info,13377
Air India,5/12/2019,Kolkata,Banglore,10:00:00,1:20:00,920,2,No Info,13243
Air Asia,5/27/2019,Banglore,Delhi,11:10:00,13:55:00,165,0,No Info,3383
Jet Airways,3/24/2019,Kolkata,Banglore,21:10:00,22:35:00,1525,1,In-flight meal not included,10031
Multiple Carriers,3/6/2019,Delhi,Cochin,15:05:00,1:35:00,630,2,No Info,21483
Jet Airways,5/6/2019,Kolkata,Banglore,16:30:00,4:40:00,730,1,No Info,13941
Air Asia,4/12/2019,Banglore,Delhi,4:55:00,7:45:00,170,0,No Info,4282
Jet Airways,5/9/2019,Kolkata,Banglore,9:35:00,21:05:00,690,1,No Info,13067
Indigo,5/15/2019,Banglore,Delhi,6:05:00,8:50:00,165,0,No Info,4423
Multiple Carriers,5/15/2019,Delhi,Cochin,8:45:00,21:00:00,735,1,No Info,7670
Jet Airways,5/21/2019,Kolkata,Banglore,20:00:00,12:00:00,960,1,In-flight meal not included,10844
